filename,width,height,mode,size_kb
colorful_00255_9045.png,512,512,RGB,73
high_quality_architectural_01189_8413.png,512,512,RGB,56
colorful_00270_11191.png,512,512,RGB,100
high_quality_architectural_01210_1599.png,512,512,RGB,99
high_quality_architectural_03623_4790.png,512,512,RGB,95
high_quality_architectural_02111_13070.png,512,512,RGB,143
high_quality_00936_1245.png,512,512,RGB,31
high_quality_architectural_03121_7050.png,512,512,RGB,46
high_quality_architectural_02130_9058.png,512,512,RGB,149
high_quality_architectural_00460_6022.png,512,512,RGB,143
high_quality_00886_9671.png,512,512,RGB,46
high_quality_architectural_02642_14124.png,512,512,RGB,185
high_quality_architectural_02475_10719.png,512,512,RGB,105
high_quality_architectural_03049_12859.png,512,512,RGB,129
high_quality_00398_14040.png,512,512,RGB,114
high_quality_architectural_01570_3517.png,512,512,RGB,28
high_quality_architectural_02859_14369.png,512,512,RGB,99
high_quality_architectural_02332_8571.png,512,512,RGB,111
high_quality_architectural_01399_1191.png,512,512,RGB,198
high_quality_architectural_00182_12101.png,512,512,RGB,95
